Unique_id,District,Location,Lat,Long,Type
KL-KEL-KMVD-50-AICS-01-54,Thiruvananthapuram,Ulloor,8.529678,76.9326316,AI Camera
KL-KEL-KMVD-50-PVDS-01-55,Thiruvananthapuram,Ambalamukk,8.529742424,76.96094949,PVDS
KL-KEL-KMVD-50-AICS-01-56,Thiruvananthapuram,Poovachal,8.5347751,77.0867638,AI Camera
KL-KEL-KMVD-50-AICS-01-57,Thiruvananthapuram,Puliyarakonam,8.5354007,77.0161863,AI Camera
KL-KEL-KMVD-50-SVDS-01-58,Thiruvananthapuram,Bypass near UST Global,8.537797443,76.87918805,SVDS
KL-KEL-KMVD-50-AICS-01-59,Thiruvananthapuram,"Vazhayila, To Peroorkada",8.5426433,76.9711209,AI Camera
KL-KEL-KMVD-50-AICS-01-60,Thiruvananthapuram,Nettayam,8.5437866,76.9876427,AI Camera
KL-KEL-KMVD-50-AICS-01-61,Thiruvananthapuram,"Vazhayila, To Nedumangadu",8.5450854,76.9727058,AI Camera
KL-KEL-KMVD-50-AICS-01-62,Thiruvananthapuram,Kottamughal_1,8.5521029,76.9423557,AI Camera
KL-KEL-KMVD-50-AICS-01-63,Thiruvananthapuram,Kottamughal_2,8.5522066,76.9426095,AI Camera
KL-KEL-KMVD-50-AICS-01-64,Thiruvananthapuram,"Mannanthala, Pothencode road",8.5607153,76.9434491,AI Camera
KL-KEL-KMVD-50-AICS-01-65,Thiruvananthapuram,"Mannanthala, Peroorkada road",8.5607214,76.9434257,AI Camera
KL-KEL-KMVD-50-AICS-01-66,Thiruvananthapuram,Paravankunnu Jn.,8.5678039,76.8733965,AI Camera
KL-KEL-KMVD-50-AICS-01-67,Thiruvananthapuram,"Vettroad, towards Pothencode",8.5824067,76.8638977,AI Camera
KL-KEL-KMVD-50-AICS-01-68,Thiruvananthapuram,"Vettroad, Pothencode road",8.5844392,76.8704745,AI Camera
KL-KEL-KMVD-50-AICS-01-69,Thiruvananthapuram,Vattappara_1,8.5928899,76.9525046,AI Camera
KL-KEL-KMVD-50-AICS-01-70,Thiruvananthapuram,Vattappara,8.5930096,76.9514364,AI Camera
KL-KEL-KMVD-50-AICS-01-71,Thiruvananthapuram,"Nedumangad, Peroorkada road",8.6006022,76.9959209,AI Camera
KL-KEL-KMVD-50-AICS-01-72,Thiruvananthapuram,"Nedumangadu, Kulavikkonam",8.6015071,77.0076317,AI Camera
KL-KEL-KMVD-50-AICS-01-73,Thiruvananthapuram,"Nedumangadu, Ponmudi road",8.6078024,77.0054544,AI Camera
KL-KEL-KMVD-50-AICS-01-74,Thiruvananthapuram,Nedumangadu,8.614673,76.9977609,AI Camera
KL-KEL-KMVD-50-AICS-01-75,Thiruvananthapuram,Nedumangadu Vembayam road,8.6161716,76.9898788,AI Camera
KL-KEL-KMVD-50-AICS-01-76,Thiruvananthapuram,"MC road, Venjaramood",8.6712494,76.9114421,AI Camera
KL-KEL-KMVD-50-AICS-01-77,Thiruvananthapuram,Thandrampoyka,8.6871302,76.9067379,AI Camera
KL-KEL-KMVD-50-AICS-01-78,Thiruvananthapuram,"Mama Moonnumukku, Attingal",8.6883583,76.8238267,AI Camera
KL-KEL-KMVD-50-AICS-01-79,Thiruvananthapuram,"Kizhakkenalumukk, Attingal",8.6951859,76.817494,AI Camera
KL-KEL-KMVD-50-AICS-01-80,Thiruvananthapuram,"Kacherinada, Attingal Jn",8.6981355,76.8136267,AI Camera
KL-KEL-KMVD-50-AICS-01-81,Thiruvananthapuram,Alamcode Jn,8.721520048,76.81288954,AI Camera
KL-KEL-KMVD-50-AICS-01-82,Thiruvananthapuram,Karet,8.7273407,76.8983141,AI Camera
KL-KEL-KMVD-50-AICS-01-83,Thiruvananthapuram,Varkala Sivagiri roundabout,8.7319773,76.7316021,AI Camera
KL-KEL-KMVD-50-AICS-01-84,Thiruvananthapuram,Varkala Sivagiri roundabout_2,8.7320087,76.7316126,AI Camera
KL-KEL-KMVD-50-AICS-01-85,Thiruvananthapuram,"Varkala, railway station road",8.7494784,76.7143884,AI Camera
KL-KEL-KMVD-50-AICS-01-86,Thiruvananthapuram,"Varkala road, Kallambalam",8.7618969,76.7877894,AI Camera
KL-KEL-KMVD-50-AICS-01-87,Thiruvananthapuram,Kilimanoor,8.7681143,76.8851514,AI Camera
KL-KEL-KMVD-50-AICS-01-88,Thiruvananthapuram,Navaikulam_2,8.7961101,76.7691311,AI Camera
KL-KEL-KMVD-50-AICS-01-89,Thiruvananthapuram,Navaikulam_1,8.7961348,76.7692244,AI Camera
KL-KEL-KMVD-50-AICS-01-90,Thiruvananthapuram,"Kallambalam, Kilimanoor road",8.7964798,76.7688777,AI Camera
,,,,,
KL-KEL-KMVD-50-AICS-02-92,Kollam,"Parippally Jn, towards Paravoor",8.8125148,76.7585943,AI Camera
KL-KEL-KMVD-50-AICS-02-93,Kollam,"Madathara Jn, Thenmala road",8.8178617,77.0146428,AI Camera
KL-KEL-KMVD-50-AICS-02-94,Kollam,"Nilamel Jn, Parippally road",8.8236526,76.8811416,AI Camera
KL-KEL-KMVD-50-AICS-02-95,Kollam,"Hospital Jn, Kadakkal, Kulathupuzha road",8.826195,76.917526,AI Camera
KL-KEL-KMVD-50-AICS-02-96,Kollam,"Ooranvila, Chathannoor, bus stand Jn",8.8586276,76.7235559,AI Camera
KL-KEL-KMVD-50-AICS-02-97,Kollam,"Thirumukk Jn, Chathannoor",8.8617743,76.7065132,AI Camera
KL-KEL-KMVD-50-AICS-02-98,Kollam,"Kottiyam Jn, towards Kollam",8.8659031,76.671286,AI Camera
KL-KEL-KMVD-50-AICS-02-99,Kollam,"Kottiyam Jn, Kannanalloor road",8.8660198,76.6709043,AI Camera
KL-KEL-KMVD-50-AICS-02-100,Kollam,Chadayamangalam,8.8736165,76.8695075,AI Camera
KL-KEL-KMVD-50-AICS-02-101,Kollam,"Oyoor Jn, Poyappally road",8.8747709,76.7738671,AI Camera
KL-KEL-KMVD-50-AICS-02-102,Kollam,SN College Jn,8.8810515,76.6003846,AI Camera
KL-KEL-KMVD-50-AICS-02-103,Kollam,"Kollam railway station, Karbala to Chinnakkada road",8.8856396,76.5966519,AI Camera
KL-KEL-KMVD-50-AICS-02-104,Kollam,"Kannanalloor Jn, Kundara road",8.8949073,76.6819167,AI Camera
KL-KEL-KMVD-50-AICS-02-105,Kollam,"Ayoor, Trivandrum road",8.8955354,76.8620022,AI Camera
KL-KEL-KMVD-50-AICS-02-106,Kollam,"Mukhathala, Kollam road",8.8972983,76.6666695,AI Camera
KL-KEL-KMVD-50-AICS-02-107,Kollam,Palakadavu,8.9024596,76.6204293,AI Camera
KL-KEL-KMVD-50-AICS-02-108,Kollam,"Kulathooppuzha Jn, Madathara road",8.9038094,77.0574798,AI Camera
KL-KEL-KMVD-50-AICS-02-109,Kollam,"Ramankulangara, Kollam road",8.9047572,76.5622133,AI Camera
KL-KEL-KMVD-50-AICS-02-110,Kollam,"Pooyappally, Oyoor road",8.9065533,76.7623571,AI Camera
KL-KEL-KMVD-50-SVDS-02-111,Kollam,Mangad,8.91462187,76.61587257,SVDS
KL-KEL-KMVD-50-AICS-02-112,Kollam,"Karikkod, Kundara road",8.9168397,76.6325294,AI Camera
KL-KEL-KMVD-50-SVDS-02-113,Kollam,Kureepuzha,8.922098891,76.58296455,SVDS
KL-KEL-KMVD-50-AICS-02-114,Kollam,"Vadakke Jn, Nedumoncavu",8.924849,76.7361317,AI Camera
